metric_mse_loss_SI_only,0.17782339453697205,,300to400,600,None
metric_mse_loss_SI_only,0.19476382434368134,,300to400,600,None
mse_SI_only,0.0287,rsquare_SI_only,-0.3291,rsquare_all_features,0.9903,mae_mse_rmse_mape_mspe_rse,0.14556482, 0.028696073, 0.16939916, 4.175566, 130.86475, 1.1528541,run3,100to400,1000,None
mse_SI_only,0.0292,rsquare_SI_only,-0.3543,rsquare_all_features,0.9833,mae_mse_rmse_mape_mspe_rse,0.12870497, 0.029240021, 0.17099714, 1.7201365, 7.1910567, 1.1637293,run3,000to400,1000,None
mse_SI_only,0.032,rsquare_SI_only,-0.4087,rsquare_all_features,0.9942,mae_mse_rmse_mape_mspe_rse,0.14921923, 0.03201154, 0.17891769, 2.8951592, 52.264767, 1.1868775,run4,300to400,1000,None
mse_SI_only,0.0307,rsquare_SI_only,-0.3494,rsquare_all_features,0.9953,mae_mse_rmse_mape_mspe_rse,0.14401935, 0.030663751, 0.17511068, 2.9109755, 52.09936, 1.1616231,run4,200to400,1000,None
mse_SI_only,0.037,rsquare_SI_only,-0.6278,rsquare_all_features,0.9955,mae_mse_rmse_mape_mspe_rse,0.15718834, 0.036991883, 0.19233274, 3.9091544, 75.486855, 1.2758683,run4,100to400,1000,None
mse_SI_only,0.0334,rsquare_SI_only,-0.4687,rsquare_all_features,0.9964,mae_mse_rmse_mape_mspe_rse,0.1547284, 0.033375867, 0.18269064, 3.2811935, 55.49708, 1.2119058,run4,000to400,1000,None
mse_SI_only,0.1106,rsquare_SI_only,-0.8246,rsquare_all_features,0.8805,mae_mse_rmse_mape_mspe_rse,0.25572708, 0.110631324, 0.33261287, 2.3875709, 10.67519, 1.3507948,run5,300to400,1000,None
mse_SI_only,0.1609,rsquare_SI_only,-1.6533,rsquare_all_features,0.8238,mae_mse_rmse_mape_mspe_rse,0.317411, 0.16087376, 0.4010907, 3.4235148, 24.77523, 1.6288943,run5,200to400,1000,None
mse_SI_only,0.1752,rsquare_SI_only,-1.8904,rsquare_all_features,0.383,mae_mse_rmse_mape_mspe_rse,0.28745776, 0.1752471, 0.41862527, 2.26892, 9.903373, 1.700105,run5,100to400,1000,None
mse_SI_only,0.1993,rsquare_SI_only,-2.2874,rsquare_all_features,0.5319,mae_mse_rmse_mape_mspe_rse,0.29939055, 0.19932297, 0.44645602, 2.3492005, 10.6851425, 1.8131301,run5,000to400,1000,None
mse_SI_only,0.0398,rsquare_SI_only,-0.3511,rsquare_all_features,0.9928,mae_mse_rmse_mape_mspe_rse,0.16493359, 0.03981311, 0.19953223, 2.3042326, 11.763418, 1.1623648,run6,300to400,1000,None
mse_SI_only,0.0435,rsquare_SI_only,-0.476,rsquare_all_features,0.9933,mae_mse_rmse_mape_mspe_rse,0.18145625, 0.043493, 0.20854975, 2.3728251, 12.015139, 1.2148961,run6,200to400,1000,None
mse_SI_only,0.0403,rsquare_SI_only,-0.3659,rsquare_all_features,0.9914,mae_mse_rmse_mape_mspe_rse,0.16938986, 0.040250592, 0.20062551, 2.9434757, 31.7079, 1.1687337,run6,100to400,1000,None
mse_SI_only,0.0408,rsquare_SI_only,-0.3835,rsquare_all_features,0.9888,mae_mse_rmse_mape_mspe_rse,0.17583993, 0.040767025, 0.20190845, 2.9259849, 24.971807, 1.1762074,run6,000to400,1000,None
